Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
adjacent_overlap_2_adj_para,0.08480543161928708,0.29631518242456667,0.5300314238213486,Not significant
adjacent_overlap_2_adj_para_div_seg,0.09011336406237226,0.26866699371212316,0.8947400291506191,Not significant
adjacent_overlap_binary_2_adj_para,0.12667546830597076,0.12105285110374979,0.6690448426258555,Not significant
adjacent_overlap_adv_para,-0.2462485333625865,0.0020558459854993086,0.00011347097956558693,Significant (higher in literal) but small effect
adjacent_overlap_adv_para_div_seg,-0.12187357219881484,0.12798948273933358,0.017059372323482064,Significant (higher in literal) but small effect
adjacent_overlap_binary_adv_para,-0.13048088977310052,0.09976648499027234,0.01684143655771435,Significant (higher in literal) but small effect
adjacent_overlap_2_adv_para,-0.24636936746969096,0.001944510165553398,6.698855124338831e-05,Significant (higher in literal) but small effect
adjacent_overlap_2_adv_para_div_seg,-0.1174959365267711,0.13808549820716673,0.02189044969366799,Significant (higher in literal) but small effect
adjacent_overlap_binary_2_adv_para,-0.12481205009417687,0.11377498588001089,0.023167535354415486,Significant (higher in literal) but small effect
adjacent_overlap_pronoun_para,-0.37470289366846826,1.1626743597574468e-05,8.197001387741931e-06,Significant (higher in literal) but small effect
adjacent_overlap_pronoun_para_div_seg,-0.11396098937854085,0.16993756860526263,0.05174275155192167,Not significant
adjacent_overlap_binary_pronoun_para,-0.14121107939726388,0.08825734240284196,0.031197428499377292,Significant (higher in literal) but small effect
adjacent_overlap_2_pronoun_para,-0.2394966088267947,0.004750145303986219,0.0014154522029058332,Significant (higher in literal) but small effect
adjacent_overlap_2_pronoun_para_div_seg,-0.0017841955617769337,0.9825416939318624,0.4280715679624345,Not significant
adjacent_overlap_binary_2_pronoun_para,-0.01653886488389847,0.836651529030323,0.39034626046072063,Not significant
adjacent_overlap_argument_para,-0.15074425342233244,0.04642520331610672,0.03799720853362481,Significant (higher in literal) but small effect
adjacent_overlap_argument_para_div_seg,-0.10299341754901906,0.21204277819089037,0.06285629211121206,Not significant
adjacent_overlap_binary_argument_para,-0.08680210821736067,0.2698533724285359,0.9856319491591718,Not significant
adjacent_overlap_2_argument_para,-0.0794079301131248,0.2932753712183146,0.2748525169907319,Not significant
adjacent_overlap_2_argument_para_div_seg,-0.0033480088493143788,0.9672956236926733,0.6896611797857652,Not significant
adjacent_overlap_binary_2_argument_para,-0.11240865539308309,0.17071641349704345,0.754841297764443,Not significant
syn_overlap_sent_noun,-0.07914849297719088,0.33063167383188796,0.11134056191706511,Not significant
syn_overlap_sent_verb,-0.07713255856236856,0.3336249914360033,0.1158147829329511,Not significant
syn_overlap_para_noun,-0.06733011201491523,0.4100722019761708,0.23067580443401037,Not significant
syn_overlap_para_verb,-0.05243844463333711,0.504528945486594,0.2766369176762151,Not significant
lsa_1_all_sent,-0.03852727229446004,0.6275142380030602,0.16238474050125506,Not significant
lsa_2_all_sent,-0.20726054667702504,0.0091004538257915,0.002050683361265178,Significant (higher in literal) but small effect
lsa_1_all_para,-0.06192639242009286,0.428891605272366,0.11627706511438061,Not significant
lsa_2_all_para,-0.20937123180180606,0.008374561466997738,0.001303947676688486,Significant (higher in literal) but small effect
lda_1_all_sent,0.024904334899941424,0.7621311678506089,0.6157178996494754,Not significant
lda_2_all_sent,-0.07539076852455384,0.35724541040240365,0.7512784286227219,Not significant
lda_1_all_para,0.021498128766308917,0.793851430200334,0.7589744669347648,Not significant
lda_2_all_para,-0.08266540009837656,0.31281138315172086,0.8704917437670164,Not significant
word2vec_1_all_sent,-0.4012125032890877,1.7080043226715244e-07,9.381784902808059e-07,Significant (higher in literal) but small effect
word2vec_2_all_sent,-0.37847045448968575,9.309095134024592e-07,2.6942596735501836e-09,Significant (higher in literal) but small effect
word2vec_1_all_para,-0.36043301748275286,2.288032060792231e-06,7.469657350535206e-07,Significant (higher in literal) but small effect
word2vec_2_all_para,-0.3349661751375985,1.6901531146959334e-05,2.2931963728183285e-09,Significant (higher in literal) but small effect
basic_connectives,0.007408404216000098,0.9272742500343746,0.848750819325431,Not significant
conjunctions,0.07329761045819413,0.3791672905359087,0.7232759501525029,Not significant
disjunctions,-0.32215592981633545,3.6532232003224937e-06,4.188571795395535e-05,Significant (higher in literal) but small effect
lexical_subordinators,-0.13291590103450798,0.09725516080629495,0.09296548611056485,Not significant
coordinating_conjuncts,0.15815797824474198,0.04480980368055903,0.18320967675921818,Not significant
addition,0.0292375991920006,0.7263035535260718,0.9534338660963486,Not significant
sentence_linking,0.09894937420227817,0.20452830619829238,0.31301303665733726,Not significant
order,0.15574949745902036,0.0342808664545981,0.09455253458608491,Not significant
reason_and_purpose,0.09694917226156784,0.24032161629364482,0.0773339036397758,Not significant
all_causal,-0.11121337695423458,0.15853380573006776,0.0656759306442603,Not significant
positive_causal,-0.23108576726535568,0.004211802921572355,0.0029774901057214257,Significant (higher in literal) but small effect
opposition,0.22034491506873455,0.006911892752783099,0.03067246721588401,Significant (higher in metaphorical) but small effect
determiners,-0.05008955818154582,0.547716403906228,0.871023304540497,Not significant
all_demonstratives,-0.1501305631239918,0.077460895143967,0.10482467851606815,Not significant
attended_demonstratives,-0.09298355313780295,0.26307861530480137,0.8434649054635327,Not significant
unattended_demonstratives,-0.13415075104958435,0.09973042589469511,0.03933090740473899,Significant (higher in literal) but small effect
all_additive,-0.05360074479903973,0.4988905958211325,0.3224956657336625,Not significant
all_logical,-0.30141201721931443,8.33752785916373e-05,4.440571609405032e-05,Significant (higher in literal) but small effect
positive_logical,-0.17190641914691676,0.03130609633793454,0.01359514104415851,Significant (higher in literal) but small effect
negative_logical,0.10638852065031364,0.19924861330597374,0.2899636342283878,Not significant
all_temporal,0.2728186118487375,0.00033643303526908233,0.00022511800711650808,Significant (higher in metaphorical) but small effect
positive_intentional,0.11315554412520445,0.14905095365012527,0.7374881800678894,Not significant
all_positive,0.08807906650858177,0.2740970179607784,0.6228592850208245,Not significant
all_negative,-0.1573061467027162,0.039617854944933265,0.03926650839024683,Significant (higher in literal) but small effect
all_connective,-0.013152567583948203,0.8665656898289658,0.5973210846048354,Not significant
pronoun_density,0.18649679529048724,0.012424523428678304,0.050536564716739014,Not significant
pronoun_noun_ratio,0.18363805135275288,0.013047044191542317,0.042323108590139116,Significant (higher in metaphorical) but small effect
repeated_content_lemmas,-0.8406550601177751,1.0694669324608164e-25,9.46822813624193e-22,Significant (higher in literal) but small effect
repeated_content_and_pronoun_lemmas,-0.8397081405035995,7.726074857412652e-25,4.974480012867212e-21,Significant (higher in literal) but small effect
