Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
news_av_approx_collexeme,-0.07707912627935548,0.3490769324419408,0.026646781788315473,Significant (higher in literal) but small effect
news_av_faith_verb_cue,-0.21458782368278068,0.00734045840928603,0.005111368713537844,Significant (higher in literal) but small effect
news_av_faith_const_cue,0.09001584422431276,0.2822934178913232,0.7972781911242383,Not significant
news_av_delta_p_verb_cue,-0.2053868437333392,0.01099549585847138,0.009066006425387393,Significant (higher in literal) but small effect
news_av_delta_p_const_cue,0.016395443139403252,0.8447791389991914,0.4333685791477768,Not significant
news_av_lemma_freq_log,0.08564259023400597,0.2681927904144836,0.11286512696648339,Not significant
news_av_construction_freq_log,-0.16955386740487888,0.03825618789094196,0.033882609607753474,Significant (higher in literal) but small effect
news_av_lemma_construction_freq_log,0.06630340171828156,0.39438520128204857,0.33283734460547043,Not significant
news_av_lemma_freq_type,0.6786732794646035,1.885943839106934e-17,1.6967146391334671e-18,Significant (higher in metaphorical) but small effect
news_av_construction_freq_type,0.4911869877435163,2.9289452901530853e-09,1.9024315426870965e-09,Significant (higher in metaphorical) but small effect
news_av_lemma_construction_freq_type,0.7024585830919197,3.449469568713645e-17,1.1240189832187244e-19,Significant (higher in metaphorical) but small effect
news_av_approx_collexeme_type,0.11802169980497654,0.16662188583712778,0.5982584081106327,Not significant
news_av_faith_verb_cue_type,0.43537171240740935,5.4522690809945357e-08,1.4947741929708004e-07,Significant (higher in metaphorical) but small effect
news_av_faith_const_cue_type,0.31698708989407876,0.0002549354239995608,0.002660336196438004,Significant (higher in metaphorical) but small effect
news_av_delta_p_verb_cue_type,0.41122863858496683,3.5805650259450594e-07,1.4273632863599633e-06,Significant (higher in metaphorical) but small effect
news_av_delta_p_const_cue_type,0.2078665210270843,0.016521185724209898,0.13580186475943332,Not significant
news_collexeme_ratio,0.05788124175422517,0.4649108376639076,0.459157606097788,Not significant
news_collexeme_ratio_type,0.23629737839374731,0.003446649193023399,0.035503939989963824,Significant (higher in metaphorical) but small effect
news_lemma_ttr,0.8629593215283854,7.723261395879546e-26,2.264620502522242e-21,Significant (higher in metaphorical) but small effect
news_construction_ttr,0.8614241791477597,9.610737713234854e-26,1.1977377389005077e-21,Significant (higher in metaphorical) but small effect
news_lemma_construction_ttr,0.8238758946273537,1.2872941108159552e-23,7.229462764251156e-20,Significant (higher in metaphorical) but small effect
news_lemma_attested,0.06093247259699398,0.46342591847031533,0.0892383504021373,Not significant
news_construction_attested,-0.19236115412416321,0.01542089885296099,0.06022959122541189,Not significant
news_lemma_construction_attested,-0.15425516157932617,0.047373499504978274,0.16421933692819712,Not significant
