Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
COCA_news_Frequency_FW,-0.1904945988276257,0.009731033581487027,0.006891502219820622,Significant (higher in literal) but small effect
COCA_news_Range_Log_FW,-0.28278400495339717,0.000209070610513668,0.00037844069515417626,Significant (higher in literal) but small effect
COCA_news_Frequency_Log_FW,-0.2890880641220237,9.25502408648534e-05,0.0001382866831192622,Significant (higher in literal) but small effect
COCA_spoken_Range_AW,0.13060623646372305,0.07839253086303317,0.1107353056529651,Not significant
COCA_spoken_Frequency_AW,-0.08998032732909507,0.2389719554712889,0.337237205279147,Not significant
COCA_spoken_Range_Log_AW,0.061675156270241525,0.4028571813947246,0.621428137867218,Not significant
COCA_spoken_Frequency_Log_AW,0.057257428957613085,0.4443983763772483,0.6827112805225263,Not significant
COCA_spoken_Range_CW,0.14474503321159124,0.04322417526893199,0.07378049534271139,Not significant
COCA_spoken_Frequency_CW,0.14655134341497678,0.038786842671672754,0.05716302850415498,Not significant
COCA_spoken_Range_Log_CW,0.0167021985892326,0.8174375835442854,0.9046192199919549,Not significant
COCA_spoken_Frequency_Log_CW,0.05962311745250311,0.40643390373225086,0.4595672793715032,Not significant
COCA_spoken_Range_FW,-0.37121190796571224,1.1782004710166293e-06,2.7842272691094414e-06,Significant (higher in literal) but small effect
COCA_spoken_Frequency_FW,-0.25102310700710095,0.0006633826489466547,0.0010917799787039963,Significant (higher in literal) but small effect
COCA_spoken_Range_Log_FW,-0.2964966745367026,0.0001316153911677835,0.0001409546224246359,Significant (higher in literal) but small effect
COCA_spoken_Frequency_Log_FW,-0.3647335856592468,8.516539214751399e-07,4.108988573027644e-06,Significant (higher in literal) but small effect
COCA_Academic_Bigram_Frequency,-0.1335258526234367,0.07349603248728745,0.03945997448421881,Significant (higher in literal) but small effect
COCA_Academic_Bigram_Range,-0.10543499929007855,0.18059344117265375,0.1934097196145227,Not significant
COCA_Academic_Bigram_Frequency_Log,-0.19696301411995368,0.015242558509757972,0.04017628766590571,Significant (higher in literal) but small effect
COCA_Academic_Bigram_Range_Log,-0.12075978284088615,0.1373758391038635,0.2896560342210298,Not significant
COCA_academic_bi_MI,-0.26620357339151735,0.0004840724943049437,0.0012616608476621106,Significant (higher in literal) but small effect
COCA_academic_bi_MI2,-0.34109887250609083,1.8888883087362905e-05,3.6513045374587945e-05,Significant (higher in literal) but small effect
COCA_academic_bi_T,-0.26844416335360277,0.0008843451223784973,0.001438782027577041,Significant (higher in literal) but small effect
COCA_academic_bi_DP,-0.3608334079758324,9.339730665396029e-06,2.9964583033582225e-05,Significant (higher in literal) but small effect
COCA_academic_bi_AC,-0.1492206153769381,0.046883448859043136,0.019031147730385205,Significant (higher in literal) but small effect
COCA_academic_bi_prop_10k,-0.24333087909405798,0.0017359058779530879,0.0008646476179793343,Significant (higher in literal) but small effect
COCA_academic_bi_prop_20k,-0.2940098667337907,0.00016205304940235504,6.291885494105401e-05,Significant (higher in literal) but small effect
COCA_academic_bi_prop_30k,-0.28043625452674753,0.00032958507106385117,0.00014884693485146862,Significant (higher in literal) but small effect
COCA_academic_bi_prop_40k,-0.26689769174599143,0.0005983142519162346,0.00024892018133510597,Significant (higher in literal) but small effect
COCA_academic_bi_prop_50k,-0.2607454816991195,0.000800457082363894,0.0002883321608431539,Significant (higher in literal) but small effect
COCA_academic_bi_prop_60k,-0.2656334287302894,0.0005817934219859291,0.00016951909847827344,Significant (higher in literal) but small effect
COCA_academic_bi_prop_70k,-0.2622124299367403,0.0006985885169903718,0.0002078540898160762,Significant (higher in literal) but small effect
COCA_academic_bi_prop_80k,-0.25601272106886164,0.0008998206146199,0.00033009643567524007,Significant (higher in literal) but small effect
COCA_academic_bi_prop_90k,-0.261303399564117,0.0006815406846567643,0.0002078540898160762,Significant (higher in literal) but small effect
COCA_academic_bi_prop_100k,-0.25781806203544116,0.0007813055586603296,0.00030775162768564477,Significant (higher in literal) but small effect
COCA_Fiction_Bigram_Frequency,-0.15806192189050622,0.03828238722142184,0.01702808791669332,Significant (higher in literal) but small effect
COCA_Fiction_Bigram_Range,0.1256827616814017,0.09988055027402568,0.10983229619920012,Not significant
COCA_Fiction_Bigram_Frequency_Log,0.19483223797268664,0.009508939650959305,0.013518419589623224,Significant (higher in metaphorical) but small effect
COCA_Fiction_Bigram_Range_Log,0.22263288071013226,0.0030101388417041776,0.00432729264484181,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_MI,-0.14135991261779107,0.08351610108200622,0.10613224336990101,Not significant
COCA_fiction_bi_MI2,0.13183507604828754,0.08115573236824489,0.08845843829963174,Not significant
COCA_fiction_bi_T,0.03865014908394991,0.6235354341597541,0.7863540554276387,Not significant
COCA_fiction_bi_DP,-0.24097883200368475,0.0037805613181759027,0.005318151835824038,Significant (higher in literal) but small effect
COCA_fiction_bi_AC,-0.14083415327568197,0.066920906119804,0.027536529133378843,Significant (higher in literal) but small effect
